Ėųųų,╦„ę²║┼,
10,0,
20,0,
35,0,    
45,0,
603,0,
616,0,
675,0,
685,0,
902,0,
903,0,
945,0,
980,0,
A6211,0,
06Ni9,0,
08Al,0,
15CrMoR,0,
15CrMo,0,
08MnNiVR,0,
15MnNi,0,
16MnDR,0,
20Cr,0,
20CrMnSiA,0,
22SiMn2TiB,0,
25CrMnSiA,0,
28Cr2Mo,0,
26SiMnMo,0,
30CrMnSiA,0,
355QK,0,
45Mn2V,0,
45MnV,0,
510L,0,
645-ó¾,0,
65Mn,0,
70Mn,0,
75Cr1,0,
8CrV,0,
907A,0,
921A,0,
922A,0,
923A,0,
A,0,
A06Ni9DR,0,
A36,0,
A36-B,0,
A514 Gr.Q,0,
A516Gr.70,0,
A572Gr50T1-B,0,
A572GR50T2,0,
A572GR50T3,0,
A588 Gr.A,0,
A588 Gr.B,0,
A588 Gr.C,0,
A690CT,0,
A992,0,
ACDT,0,
ACR950,0,
ADB610D,0,
AH32,0,
AH36,0,
AJHL960C,0,
ALK490,0,
AP20,0,
AQ100GJC,0,
AQ160GJC,0,
AQ225GJC,0,
AY610D,0,
B,0,
D,0,
DH32,0,
DH36,0,
DH36RCB,0,
DH36-RCW,0,
DH40,0,
DH420,0,
DJ100,0,
E,0,
E36,0,
EH32,0,
EH32-W100,0,
EH36,0,
EH40,0,
EH420,0,
EH460,0,
EH500,0,
EH550,0,
EQ51,0,
EQ63,0,
EQ70,0,
F11,0,
F18,0,
F20,0,
F30,0,
F620,0,
F690,0,
FH32,0,
FH36,0,
FH40,0,
FH420,0,
G-355NH,0,
GR.36,0,
GR.50,0,
GR.50W,0,
HPS 70W,0,
HQ785T1,0,
L245,0,
L907A,0,
L921A,0,
N902,0,
NM450,0,
P20,0,
Q235A,0,
Q235A/HD100.503,0,
Q235B,0,
Q235C,0,
Q235D,0,
Q245GTB,0,
Q245GTC,0,
Q245R,0,
Q255B,0,
Q315NS,0,
Q345A,0,
Q345B,0,
Q345C,0,
Q345D,0,
Q345E,0,
Q345qC,0,
Q345qD,0,
Q345qDNH,0,
Q345qE,0,
Q345R,0,
Q355NHD,0,
Q370qD,0,
Q370qE,0,
Q390B,0,
Q420A,0,
Q420B,0,
Q420C,0,
Q460C,0,
Q460CFC,0,
Q460D,0,
Q500D,0,
Q500qE,0,
Q550CFC,0,
Q550CFD,0,
Q690CFC,0,
Q690CFD,0,
Q690qE,0,
S235JR,0,
S275JR,0,
S355J2,0,
S355J2G4,0,
S355J2W(H),0,
S355JR,0,
S355NL,0,
S500MC,0,
SA-285Gr.C,0,
SA387Gr.11CL1,0,
SA-516Gr.70,0,
SDQ980,0,
SM490A,0,
SS400,0,
SS400-B,0,
T10,0,
WFHY-415,0,
WFHY-485,0,
WPHY 70,0,
X12Ni5,0,
X65,0,
X80,0,
X80M,0,
XG08,0,
Z902,0,
A616,0,
FH550,0,
FH460,0,
AZQ345,0,
L360N,0,
BM,0,
956,0,
06Ni9DR,0,
07MnMoVR,0,
07MnNiMoDR,0,
07MnNiVDR,0,
09MnNiDR,0,
12Cr2Mo1VR,0,
13MnNiMoR,0,
15MnNiNbDR,0,
17MnNiVNbR,0,
18MnMoNbR,0,
A-NS,0,
AY790E,0,
DH32-NS,0,
DH32RCB,0,
DH32RCU,0,
D-RCW,0,
E690,0,
NM400,0,
Q370R,0,
Q690D,0,
Q690qENH,0,
S420NL,0,
S460NL,0,
30CrMnMoRE,0,
52C,0,
9Ni,0,
A06Ni5DR,0,
A590DR,0,
ALK420,0,
AZQ345,0,
BM,0,
DN590,0,
EH40-W100,0,
FH460,0,
FH500,0,
FH550,0,
GH600,0,
L360N,0,
Q355NHC,0,
Q370qC,0,
Q370qENH,0,
Q600CFD,0,
Q690E,0,
Q960E,0,
S355J0,0,
S420N,0,
S460N,0,
X80HD2,0,
Q500qDNH,0,
AH40,0,
Q500qD,0,
EQ56,0,
SA387Gr.11CL2,0,
AZF1700,0,
Q420qDNH,0,
A603,0,
Q450NQR1,0,
Q420qE,0,
FH690,0,
S460M,0,
AGY4,0,
X70,0,
LY160,0,
A28Cr2Mo,0,
NM500,0,
Q295NHC,0,
616R,0,
AH616,0,
970A,0,
AHGY4,0,
TA1,0,
TA2,0,
Q420GJC,0,
Q390GJC,0,
Q345GJB,0,
Q390C,0,
Q460GJC,0,
Q420qENH,0,
Q345qENH,0,
LY100,0,
NM360,0,
Q420FRC,0,
Q345FRB,0,
603W,0,
EQ43,0,
12Cr1MoV,0,
Q345FTC,0,
X60,0,
AGMJ45,0,
Q345FTD,0,
S45C-Ti,0,
A36-Cr,0,
LY315,0,
S355J2W+N,0,
SM490YA-Cr,0,
L415M,0,
Grade 255,0,
Q235qD,0,
S275J2C+N,0,
12MnNiVR,0,
12MnNiVR-SR,0,
L450M,0,
L485M,0,
X70M,0,
Q550D,0,
S420M,0,
S420ML,0,
X42,0,
X52,0,
X60M,0,
X60MS,0,
X65-3,0,
X65MS,0,
X65MS-2,0,
1E1006-2  ,0,
N08810   ,0,
E36-T  ,0,
F36-T    ,0,
LT-F36,0,
LT-F36M,0,
Q420-2,0,
Q420-3,0,
Q420-Ti,0,
Q420GJ-1,0,
Q420qD-Cr,0,
Q420qD-TM,0,
Q460C-2,0,
Q460E-1,0,
Q460GJ-2,0,
S420G-1,0,
TB460,0,
TL-Q460E-1,0,
TL-S355J2WT,0,
